,no,song,movie,year,singers,lyricist,composer
1095,1096,Udayam Chaamarangal ...,Saakshyam,1995,"KJ Yesudas, KS Chithra",MD Rajendran,Johnson
1096,1097,Mangala Deepam Thiri Theliyum ...,Shipaayi Lahala,1995,"KJ Yesudas, KS Chithra",Gireesh Puthenchery,SP Venkitesh
1097,1098,Japamaay Veda Saadhakamaay (F) ...,Punnaaram,1995,KS Chithra,Gireesh Puthenchery,Rajamani
1098,1099,Alathallum ...,Sundarimaare Sookshikkuka,1995,"KS Chithra, Chorus",Poovachal Khader,AT Ummer
1099,1100,Nira deepamaay ...,The President,1995,"KS Chithra, Sreenivas",Gireesh Puthenchery,Raveendran
1100,1101,Padavarnna tharivalayilaki ...,Sreeraagam,1995,"KJ Yesudas, KS Chithra",Kaithapram,Kanjangad Ramachandran
1101,1102,Raavinte ...,Sreeraagam,1995,"KS Chithra, Kanjangad Ramachandran",Kaithapram,Kanjangad Ramachandran
1102,1103,Neelakkadakkannil ...,Sreeraagam,1995,"KS Chithra, Kanjangad Ramachandran",Kaithapram,Kanjangad Ramachandran
1103,1104,Raavinte (F) ...,Sreeraagam,1995,KS Chithra,Kaithapram,Kanjangad Ramachandran
1104,1105,Varoo Shyaama Hare ...,Sundari Neeyum Sundaran Njaanum,1995,KS Chithra,Gireesh Puthenchery,Jithin Shyam
1105,1106,Aaromal Poove ...,Sundari Neeyum Sundaran Njaanum,1995,"KS Chithra, MG Sreekumar",Ranjith Mattanchery,Jithin Shyam
1106,1107,Aaromal Poove [F] ...,Sundari Neeyum Sundaran Njaanum,1995,KS Chithra,Ranjith Mattanchery,Jithin Shyam
1107,1108,Ormakal ...,Sphadikam,1995,KS Chithra,P Bhaskaran,SP Venkitesh
1108,1109,Ezhimalappoonchola ...,Sphadikam,1995,"KS Chithra, Mohanlal",P Bhaskaran,SP Venkitesh
1109,1110,Parumala cheruvile ...,Sphadikam,1995,KS Chithra,P Bhaskaran,SP Venkitesh
1110,1111,Kaathil Thenmazhayaay [F] ...,Thumpoli Kadappuram,1995,KS Chithra,ONV Kurup,Salil Chowdhury
1111,1112,Olangale Odangale ...,Thumpoli Kadappuram,1995,"KS Chithra, Chorus",ONV Kurup,Salil Chowdhury
1112,1113,Paarvanendu Choodi Ninnu ...,Maanikyachempazhukka,1995,"KS Chithra, MG Sreekumar",Shibu Chakravarthy,Rajamani
1113,1114,Devaraaga doothike ...,Kaakkaykkum Poochaykkum Kalyaanam,1995,"KS Chithra, Arundhathi",Kaithapram,Raveendran
1114,1115,Anthi Paravakalengo Chekkerunnoo ...,Achan Kompathu Amma Varampathu,1995,"KJ Yesudas, KS Chithra",Gireesh Puthenchery,SP Venkitesh
1115,1116,Raavirulin (d) ...,Achan Kompathu Amma Varampathu,1995,"KJ Yesudas, KS Chithra",Gireesh Puthenchery,SP Venkitesh
1116,1117,Peelithirumudiyunde [Muthumani thenil] ...,Achan Kompathu Amma Varampathu,1995,"KS Chithra, P Jayachandran, Vani Jairam, G Venugopal, Sindhu Devi",Gireesh Puthenchery,SP Venkitesh
1117,1118,Raavirulin [F] ...,Achan Kompathu Amma Varampathu,1995,KS Chithra,Gireesh Puthenchery,SP Venkitesh
1118,1119,Enthinu Veroru Sooryodayam ...,Mazhayethum Munpe,1995,"KJ Yesudas, KS Chithra",Kaithapram,Raveendran
1119,1120,Aathmavin Pusthakathaalil [F] ...,Mazhayethum Munpe,1995,KS Chithra,Kaithapram,Raveendran
1120,1121,Swayam Marannonnu Paadaan ...,Three Men Army,1995,"KS Chithra, Biju Narayanan",Gireesh Puthenchery,Achu
1121,1122,Oro Vandin Nenchilum ...,Kalamasseriyil Kalyaanayogam,1995,KS Chithra,Chittoor Gopi,Tomin Thachankari
1122,1123,Chenthaazhampoovin Pottil Thodum ...,Kalamasseriyil Kalyaanayogam,1995,"KS Chithra, MG Sreekumar",Chittoor Gopi,Tomin Thachankari
1123,1124,Etho Venalkkinaavin [F] ...,Mangalyasoothram,1995,KS Chithra,Gireesh Puthenchery,Berny Ignatius
1124,1125,Kottaara Kettil ...,Achan Raajaavu Appan Jethaavu,1995,"KS Chithra, Biju Narayanan",Gireesh Puthenchery,Rajamani
1125,1126,Neelolppalamaala ...,Thiruvithamkoor Thirumanassu,1995,"KS Chithra, G Venugopal",PK Gopi,Premkumar Vadakara
1126,1127,Neelolpalamala (F) ...,Thiruvithamkoor Thirumanassu,1995,KS Chithra,PK Gopi,Premkumar Vadakara
1127,1128,Kanni Nilaavinu ...,Keerthanam,1995,KS Chithra,Kaithapram,SP Venkitesh
1128,1129,Pulari pookkalal ...,Aniyan Baava Chettan Baava,1995,"KS Chithra, P Jayachandran",IS Kundoor,SP Venkitesh
1129,1130,Mazhavilkkodiyil ...,Aniyan Baava Chettan Baava,1995,"KS Chithra, Biju Narayanan",S Ramesan Nair,SP Venkitesh
1130,1131,Mazhavilkkodiyil [F] ...,Aniyan Baava Chettan Baava,1995,KS Chithra,S Ramesan Nair,SP Venkitesh
1131,1132,Harichandanathin ...,Iniyoru Pranayakadha,1995,"KS Chithra, MG Sreekumar, Chorus",Mankombu Gopalakrishnan,MM Keeravani
1132,1133,Kaanakkuyile ...,Iniyoru Pranayakadha,1995,"KS Chithra, MG Sreekumar, Chorus",Mankombu Gopalakrishnan,MM Keeravani
1133,1134,Kalapila Chollicholli ...,Iniyoru Pranayakadha,1995,"KS Chithra, MG Sreekumar",Mankombu Gopalakrishnan,MM Keeravani
1134,1135,Vasanthamaay Varna poovadiyil [MD] ...,Iniyoru Pranayakadha,1995,"KS Chithra, MG Sreekumar, Chorus",Mankombu Gopalakrishnan,MM Keeravani
1135,1136,Vasanthamaay Varna poovadiyil [FD] ...,Iniyoru Pranayakadha,1995,"KS Chithra, MG Sreekumar",Mankombu Gopalakrishnan,MM Keeravani
1136,1137,Vasanthamaay Varna poovadiyil [Bit] ...,Iniyoru Pranayakadha,1995,"KS Chithra, MG Sreekumar",Mankombu Gopalakrishnan,MM Keeravani
1137,1138,Vennilaa Thulliyaay ...,Vridhanmaare Sookshikkuka,1995,"KS Chithra, MG Sreekumar",Gireesh Puthenchery,Berny Ignatius
1138,1139,Oru jathi swaram [F] ...,Rajakeeyam,1995,KS Chithra,Sreekumaran Thampi,Aadithyan
1139,1140,Keli Vipinam [F] ...,Maanthrikam,1995,KS Chithra,ONV Kurup,SP Venkitesh
1140,1141,Mohikkum Neelmizhiyode ...,Maanthrikam,1995,"KJ Yesudas, KS Chithra",ONV Kurup,SP Venkitesh
1141,1142,Manjil Maayum Saayamkaalam ...,Mazhavilkkoodaaram,1995,KS Chithra,Gireesh Puthenchery,S Balakrishnan
1142,1143,Manjil Maayum Saayamkaalam ...,Mazhavilkkoodaaram,1995,"KS Chithra, MG Sreekumar",Gireesh Puthenchery,S Balakrishnan
1143,1144,Chirikkudukke ...,Munpe Parakkunna Pakshi,1995,"KS Chithra, Chorus",Bichu Thirumala,Mohan Sithara
1144,1145,Arayaalilakalil Ashtapadi ...,Anna,1995,KS Chithra,Shibu Chakravarthy,Ouseppachan
1145,1146,Yavana Kadhayil Ninnu ...,Anna,1995,"KJ Yesudas, KS Chithra",Shibu Chakravarthy,Ouseppachan
1146,1147,Aanandhanamthanam ...,Anna,1995,"KJ Yesudas, KS Chithra",Shibu Chakravarthy,Ouseppachan
1147,1148,Aardramaam Oru ...,Anna,1995,KS Chithra,Shibu Chakravarthy,Ouseppachan
1148,1149,Olivu Marachottil ...,Anna,1995,"KS Chithra, Chorus",Shibu Chakravarthy,Ouseppachan
1149,1150,Kanne Kanmani ...,Pushpamangala,1995,KS Chithra,Poovachal Khader,Manoharan
1150,1151,Tharangini Thadangalil Chilankakal ...,Pushpamangala,1995,KS Chithra,Poovachal Khader,Manoharan
1151,1152,Thinkalppoovin ...,Pushpamangala,1995,"KS Chithra, P Jayachandran",Poovachal Khader,Manoharan
1152,1153,Chellam Chellam Chollu ...,Poovukalku Punyakaalam,1995,KS Chithra,"Balakrishnan, Ananda Bose",Mohan Sithara
1153,1154,Ennomal Kanmanikkunje ...,Poovukalku Punyakaalam,1995,KS Chithra,"Balakrishnan, Ananda Bose",Mohan Sithara
1154,1155,Ponnarayaalile Kingini ...,Poovukalku Punyakaalam,1995,"KS Chithra, Chorus","Balakrishnan, Ananda Bose",Mohan Sithara
1155,1156,Deepaaradhana ...,Hima Nandini,1995,KS Chithra,CP Rajasekharan,Pukazhenthi
1156,1157,Indulekhayanantha ...,Hima Nandini,1995,KS Chithra,CP Rajasekharan,Pukazhenthi
1157,1158,Sooryabimbam ...,Hima Nandini,1995,KS Chithra,CP Rajasekharan,Pukazhenthi
1158,1159,Ashtamangalyavum ...,Hima Nandini,1995,"KS Chithra, Chorus",CP Rajasekharan,Pukazhenthi
1159,1160,He Puthumazha Thudangiya ...,Warrant,1995,KS Chithra,Sreekumaran Thampi,Jerry Amaldev
1160,1161,Ponnaavani poomuthe ...,Man of the Match,1996,"KS Chithra, MG Sreekumar","Gireesh Puthenchery, S Ramesan Nair",Ilayaraja
1161,1162,Virahamaay [F] ...,Man of the Match,1996,KS Chithra,"Gireesh Puthenchery, S Ramesan Nair",Ilayaraja
1162,1163,Kathirum kothi ...,Man of the Match,1996,"KS Chithra, MG Sreekumar","Gireesh Puthenchery, S Ramesan Nair",Ilayaraja
1163,1164,Devakanyaka ...,Ee Puzhayum Kadannu,1996,KS Chithra,Gireesh Puthenchery,Johnson
1164,1165,Vaidooryakkammalaninju ...,Ee Puzhayum Kadannu,1996,"KS Chithra, MG Sreekumar, Sujatha Mohan",Gireesh Puthenchery,Johnson
1165,1166,Sreelalolayam ...,Ee Puzhayum Kadannu,1996,KS Chithra,Gireesh Puthenchery,Johnson
1166,1167,Mandaarappoo Choriyum ...,Kaanchanam,1996,KS Chithra,ONV Kurup,Johnson
1167,1168,Aakaasham (F) ...,Malayala Maasam Chingam Onninu,1996,KS Chithra,Gireesh Puthenchery,Raveendran
1168,1169,Aarikil Kaama ...,Super Hero S.P. Parasuram,1996,"KS Chithra, MG Sreekumar, Chorus",Mankombu Gopalakrishnan,MM Keeravani
1169,1170,Karayaruthomana Mone ...,Super Hero S.P. Parasuram,1996,"KS Chithra, Chorus",Mankombu Gopalakrishnan,MM Keeravani
1170,1171,Muthamidu Munthiri ...,Super Hero S.P. Parasuram,1996,"KS Chithra, MG Sreekumar, Chorus",Mankombu Gopalakrishnan,MM Keeravani
1171,1172,Thaimaasa Sudha ...,Super Hero S.P. Parasuram,1996,"KS Chithra, MG Sreekumar, Chorus",Mankombu Gopalakrishnan,MM Keeravani
1172,1173,Devayogamo ...,Super Hero S.P. Parasuram,1996,"KS Chithra, MG Sreekumar",Mankombu Gopalakrishnan,MM Keeravani
1173,1174,Kanmaniye Nin Chiriyil ...,Mimics Super 1000,1996,KS Chithra,Kaithapram,SP Venkitesh
1174,1175,Manithinkal Deepam ...,Ishtamaanu Nooru Vattam,1996,"KS Chithra, Biju Narayanan",Gireesh Puthenchery,S Balakrishnan
1175,1176,Aaraarennullinnullil ...,Ishtamaanu Nooru Vattam,1996,KS Chithra,Gireesh Puthenchery,S Balakrishnan
1176,1177,Manjakkanikkonna ...,Ishtamaanu Nooru Vattam,1996,KS Chithra,Gireesh Puthenchery,S Balakrishnan
1177,1178,Ponnum poovum ...,Ishtamaanu Nooru Vattam,1996,"KJ Yesudas, KS Chithra",Gireesh Puthenchery,S Balakrishnan
1178,1179,Madhurikkum Manassinte [F] ...,Ishtamaanu Nooru Vattam,1996,KS Chithra,Gireesh Puthenchery,S Balakrishnan
1179,1180,Ponnum Poovum ...,Ishtamaanu Nooru Vattam,1996,KS Chithra,Gireesh Puthenchery,S Balakrishnan
1180,1181,Ambilimukulam ...,Ishtamaanu Nooru Vattam,1996,"KS Chithra, Biju Narayanan",Gireesh Puthenchery,S Balakrishnan
1181,1182,Aadyamaay kandanaal ...,Thoovalkkottaaram,1996,"KJ Yesudas, KS Chithra",Kaithapram,Johnson
1182,1183,Thakathakkida ...,Hey Madam,1996,"KS Chithra, MG Sreekumar",Mankombu Gopalakrishnan,MM Keeravani
1183,1184,Sraavani ...,Hey Madam,1996,"KS Chithra, MG Sreekumar",Mankombu Gopalakrishnan,MM Keeravani
1184,1185,Onnu Cheru ...,Hey Madam,1996,"KS Chithra, MG Sreekumar",Mankombu Gopalakrishnan,MM Keeravani
1185,1186,Raathri Choodan Rajamalli ...,Hey Madam,1996,"KS Chithra, MG Sreekumar, Chorus",Mankombu Gopalakrishnan,MM Keeravani
1186,1187,Hello En Chakkaramole ...,Hey Madam,1996,"KS Chithra, MG Sreekumar",Mankombu Gopalakrishnan,MM Keeravani
1187,1188,Ninne Roadil Vachu Kandappozho ...,Hey Madam,1996,"KS Chithra, MG Sreekumar",Mankombu Gopalakrishnan,MM Keeravani
1188,1189,Ya ya ya yadava ...,Devaraagam,1996,"KS Chithra, P Unnikrishnan",MD Rajendran,MM Keeravani
1189,1190,Shashikala Chaarthiya ...,Devaraagam,1996,"KS Chithra, MM Keeravani, Master Don Vincent",MD Rajendran,MM Keeravani
1190,1191,Shishirakaala Meghamidhuna ...,Devaraagam,1996,"KS Chithra, P Jayachandran",MD Rajendran,MM Keeravani
1191,1192,Devapaadam ...,Devaraagam,1996,KS Chithra,MD Rajendran,MM Keeravani
1192,1193,Maarikkoodinnullil ...,Kaalapaani,1996,"KS Chithra, Ilayaraja",Gireesh Puthenchery,Ilayaraja
1193,1194,Aattirambile Kombile [D] ...,Kaalapaani,1996,"KS Chithra, MG Sreekumar, Chorus",Gireesh Puthenchery,Ilayaraja
1194,1195,Kottum Kuzhal Vili Thaalamulli ...,Kaalapaani,1996,"KS Chithra, MG Sreekumar, Chorus",Gireesh Puthenchery,Ilayaraja
1195,1196,Chemboove Poove ...,Kaalapaani,1996,"KS Chithra, MG Sreekumar",Gireesh Puthenchery,Ilayaraja
1196,1197,Aattirambile Kombile [F] ...,Kaalapaani,1996,KS Chithra,Gireesh Puthenchery,Ilayaraja
1197,1198,Parayumo Mookayaamame (f) ...,Indraprastham,1996,KS Chithra,Gireesh Puthenchery,Vidyasagar
1198,1199,Thankathinkal ...,Indraprastham,1996,"KS Chithra, MG Sreekumar",Gireesh Puthenchery,Vidyasagar
1199,1200,Jhumpa Jhumpa (Resung from Nadodi) ...,KL 7-95 Ernakulam North,1996,"KS Chithra, Malaysia Vasudevan",Kaithapram,SP Venkitesh
1200,1201,Unni Pulkoodu ...,Harbour,1996,KS Chithra,Vayalar Sarathchandra Varma,Aadithyan
1201,1202,Manjakkiliye ...,Laalanam,1996,KS Chithra,Gireesh Puthenchery,SP Venkitesh
1202,1203,Manthravaadiyaay ...,Laalanam,1996,"KJ Yesudas, KS Chithra",Gireesh Puthenchery,SP Venkitesh
1203,1204,Paal nurayaay ...,Aakaashathekkoru Kilivaathil,1996,KS Chithra,Gireesh Puthenchery,Ouseppachan
1204,1205,Ponnaambalpoo ...,Aakaashathekkoru Kilivaathil,1996,"KS Chithra, MG Sreekumar",Gireesh Puthenchery,Ouseppachan
1205,1206,Kurunnu Thaamarakkuruvi ...,Udyaanapaalakan,1996,KS Chithra,Kaithapram,Johnson
1206,1207,Mayyazhippuzhayozhuki [F] ...,Udyaanapaalakan,1996,KS Chithra,Kaithapram,Johnson
1207,1208,Vayanaadan Mettil ...,Hitlist,1996,"KS Chithra, Biju Narayanan",Gireesh Puthenchery,Jerry Amaldev
1208,1209,Paada pooja ...,Mayooranrutham,1996,"KJ Yesudas, KS Chithra",P Bhaskaran,G Devarajan
1209,1210,Maniveena Meetti ...,Sathyabhaamaykkoru Premalekhanam,1996,"KS Chithra, Biju Narayanan",IS Kundoor,Rajamani
1210,1211,Nirathingalo Manideepamo [F] ...,Sathyabhaamaykkoru Premalekhanam,1996,KS Chithra,S Ramesan Nair,Rajamani
1211,1212,Pandathe Meesha (Hey Mooliyalankaari) ...,Kudumbakodathi,1996,"KS Chithra, Kalpana",S Ramesan Nair,SP Venkitesh
1212,1213,Cholakkilikal ...,The Prince,1996,KS Chithra,Gireesh Puthenchery,Deva
1213,1214,Jim thaka jim thaka ...,The Prince,1996,"KS Chithra, MG Sreekumar",Gireesh Puthenchery,Deva
1214,1215,Kannil kannil ...,The Prince,1996,"KS Chithra, MG Sreekumar",Gireesh Puthenchery,Deva
1215,1216,Nanda Nandana ...,The Prince,1996,KS Chithra,Gireesh Puthenchery,Deva
1216,1217,Shyaamayaam Raadhike ...,The Prince,1996,"KS Chithra, Mohanlal",Gireesh Puthenchery,Deva
1217,1218,Thanana Thanana [Bit] ...,The Prince,1996,"KS Chithra, MG Sreekumar",Gireesh Puthenchery,Deva
1218,1219,Swaram Swayam Maranno Sarike ...,Swapnalokathe Baalabhaaskaran,1996,KS Chithra,S Ramesan Nair,SP Venkitesh
1219,1220,Ponnum Kinaave ...,Vaanarasena,1996,"KS Chithra, MG Sreekumar",Gireesh Puthenchery,Berny Ignatius
1220,1221,Madhu Mazhai Paitha ...,Naalaamkettile Nalla Thampimaar,1996,"KJ Yesudas, KS Chithra",Gireesh Puthenchery,SP Venkitesh
1221,1222,Kunjikaattin Kannitheril ...,Naalaamkettile Nalla Thampimaar,1996,"KS Chithra, Biju Narayanan, Malaysia Vasudevan",Gireesh Puthenchery,SP Venkitesh
1222,1223,Kunjikaattin Kannitheril [F] ...,Naalaamkettile Nalla Thampimaar,1996,KS Chithra,Gireesh Puthenchery,SP Venkitesh
1223,1224,Neeyurangiyo nilave ...,Hitler,1996,KS Chithra,Gireesh Puthenchery,SP Venkitesh
1224,1225,Vaarthinkale ...,Hitler,1996,KS Chithra,Gireesh Puthenchery,SP Venkitesh
1225,1226,Kithachethum kaatte ...,Hitler,1996,"KS Chithra, MG Sreekumar",Gireesh Puthenchery,SP Venkitesh
1226,1227,Sada nin ...,Sulthaan Hyderali,1996,KS Chithra,Kaithapram,Rajamani
1227,1228,Aarum Nullaam ...,Padanaayakan,1996,KS Chithra,Ranjith Mattanchery,Rajamani
1228,1229,Ponnaambale ...,Aramanaveedum Anjoorekkarum,1996,"KS Chithra, P Jayachandran",Gireesh Puthenchery,"BA Chidambaranath, Rajamani"
1229,1230,Eeran nilaavo ...,Swarnna Kireedam,1996,KS Chithra,Gireesh Puthenchery,SP Venkitesh
1230,1231,Nilaathinkal chiri maayum ...,Dilliwaala Raajakumaaran,1996,KS Chithra,S Ramesan Nair,Ouseppachan
1231,1232,Poovarashin kuda nivarthi ...,Dilliwaala Raajakumaaran,1996,KS Chithra,S Ramesan Nair,Ouseppachan
1232,1233,Kalahapriye Nin Mizhikalil ...,Dilliwaala Raajakumaaran,1996,"KS Chithra, P Unnikrishnan",S Ramesan Nair,Ouseppachan
1233,1234,Thudi Thudi ...,King Soloman,1996,"KS Chithra, Swarnalatha",Gireesh Puthenchery,Deva
1234,1235,Mounam [F] ...,King Soloman,1996,KS Chithra,Gireesh Puthenchery,Deva
1235,1236,Malar Manchalil ...,King Soloman,1996,KS Chithra,Gireesh Puthenchery,Deva
1236,1237,Oh Dilruba ...,Azhakiya Raavanan,1996,"KS Chithra, Hariharan",Kaithapram,Vidyasagar
1237,1238,Vennilaa ChandanakKinnam (F) ...,Azhakiya Raavanan,1996,KS Chithra,Kaithapram,Vidyasagar
1238,1239,Ullil Kurukkunna Venpiraakkale ...,Kaanaakkinaavu,1996,KS Chithra,Gireesh Puthenchery,Raghu Kumar
1239,1240,Nenjil Nira Mizhineerumaay [D] ...,Kaanaakkinaavu,1996,"KJ Yesudas, KS Chithra",Gireesh Puthenchery,Raghu Kumar
1240,1241,Jaalakathin Pinnil ...,Kaanaakkinaavu,1996,KS Chithra,Gireesh Puthenchery,Raghu Kumar
1241,1242,Nenjil Nira Mizhineerumaay [F] ...,Kaanaakkinaavu,1996,KS Chithra,Gireesh Puthenchery,Raghu Kumar
1242,1243,Kaavalam Kiliye ...,Saamoohya Paadam,1996,KS Chithra,Balachandran Chullikkad,SP Venkitesh
1243,1244,En Swarnamaane Ini Vidilla Ninne ...,Mr Clean,1996,"KS Chithra, Biju Narayanan",Kaithapram,SP Venkitesh
1244,1245,Deepaankuram ...,Kaliveedu,1996,"KS Chithra, P Jayachandran",Kaithapram,Mohan Sithara
1245,1246,Manassu Oru (F) ...,Kaliveedu,1996,KS Chithra,S Ramesan Nair,Mohan Sithara
1246,1247,Mukilthudi Kotti ...,Kireedamillaatha Raajaakkanmaar,1996,KS Chithra,Gireesh Puthenchery,SP Venkitesh
1247,1248,Vijana Yaaminiyil ...,Veruthe Nuna Parayaruthu,1996,KS Chithra,P Bhaskaran,Vidyadharan Master
1248,1249,Muttathe kudamulla ...,Veruthe Nuna Parayaruthu,1996,"KS Chithra, Thrissur Mani",P Bhaskaran,Vidyadharan Master
1249,1250,Kaalathe Njaan Kani Kandu ...,Veruthe Nuna Parayaruthu,1996,"KS Chithra, Thrissur Mani",P Bhaskaran,Vidyadharan Master
1250,1251,Kannaadippoonkavilil ...,Kunkumacheppu,1996,"KS Chithra, MG Sreekumar",Kaithapram,SP Venkitesh
1251,1252,Ambala nadakal ...,Kunkumacheppu,1996,"KS Chithra, Biju Narayanan",Kaithapram,SP Venkitesh
1252,1253,Vida Parayukayaanen Janmam ...,Kunkumacheppu,1996,KS Chithra,Kaithapram,SP Venkitesh
1253,1254,Pattana Vilayattam ...,Kunkumacheppu,1996,"KS Chithra, MG Sreekumar",Kaithapram,SP Venkitesh
1254,1255,Ee Raathri Laharipoondathaarkkuvendi ...,Pallivaathukkal Thommichan,1996,KS Chithra,Kaithapram,Rajamani
1255,1256,Onnu Kandaneram ...,Pallivaathukkal Thommichan,1996,KS Chithra,Kaithapram,Rajamani
1256,1257,Panchavarnna ...,Sallaapam,1996,KS Chithra,Kaithapram,Johnson
1257,1258,Ponnil Kulichu Ninnu [D] ...,Sallaapam,1996,"KJ Yesudas, KS Chithra",Kaithapram,Johnson
1258,1259,Ponnil Kulichu Ninnu(Bit) ...,Sallaapam,1996,"KJ Yesudas, KS Chithra",Kaithapram,Johnson
1259,1260,Idaya Kanyaka Njan ...,Dominic Presentation,1996,KS Chithra,Kaithapram,Vidyadharan Master
1260,1261,Niravaavo ...,Rajaputhran,1996,KS Chithra,Gireesh Puthenchery,M Jayachandran
1261,1262,Unniyummachiruthe [F] ...,Aayiram Naavulla Ananthan,1996,KS Chithra,S Ramesan Nair,Johnson
1262,1263,Unniyammachirutheyi [D] ...,Aayiram Naavulla Ananthan,1996,"KJ Yesudas, KS Chithra",S Ramesan Nair,Johnson
1263,1264,Aaraadhana Vigraham ...,Kalyaana Saugandhikam,1996,"KS Chithra, G Venugopal",Kaithapram,Johnson
1264,1265,Kalyaana Sougandhikam ...,Kalyaana Saugandhikam,1996,KS Chithra,Kaithapram,Johnson
1265,1266,Paarvanachandrika ...,Excuse Me Ethu Collegila?,1996,KS Chithra,Gireesh Puthenchery,Mohan Sithara
1266,1267,Nakshathramullakkum ...,Ammuvinte Aangalamar,1996,"KJ Yesudas, KS Chithra",S Ramesan Nair,Jayapal
1267,1268,Koorirul Moodiya [F] ...,Mookkilla Raajyathu Murimookkan Raajaavu,1996,KS Chithra,Appan Thachethu,Jerry Amaldev
1268,1269,Shankhu Chakra Pankajangal ...,Mookkilla Raajyathu Murimookkan Raajaavu,1996,"KS Chithra, Kester",Appan Thachethu,Jerry Amaldev
1269,1270,Madhumaya Swara ...,Nandagopalante Kusruthikal,1996,KS Chithra,Gireesh Puthenchery,Rajamani
1270,1271,Oru Manjupoovin ...,Nandagopalante Kusruthikal,1996,"KS Chithra, Biju Narayanan",Gireesh Puthenchery,Rajamani
1271,1272,Kanmani Nee ...,Oomakkathu,1996,"KS Chithra, Jolly Abraham",Yogesh,Usha Khanna
1272,1273,Mohanam ...,Oomakkathu,1996,"KS Chithra, Sujatha Mohan, Jolly Abraham",Yogesh,Usha Khanna
1273,1274,Aaromale ...,Oomakkathu,1996,"KS Chithra, Sujatha Mohan, Jolly Abraham",Yogesh,Usha Khanna
1274,1275,Ozhukunna Mannil ...,Oomakkathu,1996,"KS Chithra, Sujatha Mohan, Jolly Abraham",Yogesh,Usha Khanna
1275,1276,Thinkalkkidaave ...,Sourayoodham,1996,KS Chithra,S Ramesan Nair,M Jayachandran
1276,1277,Mounam Moolippaadum ...,Maanchiyam,1996,KS Chithra,Gireesh Puthenchery,Tomin Thachankari
1277,1278,Vin Deepangal Choodi ...,Anubhoothi,1997,KS Chithra,MD Rajendran,Shyam
1278,1279,Anubhoothi Thazhuki [F] ...,Anubhoothi,1997,KS Chithra,MD Rajendran,Shyam
1279,1280,Anubhoothi Thazhuki [D] ...,Anubhoothi,1997,"KS Chithra, MG Sreekumar",MD Rajendran,Shyam
1280,1281,Dooreyo Shaanthamaam ...,Nagarapuraanam,1997,KS Chithra,Gireesh Puthenchery,SP Venkitesh
1281,1282,Kunkumamo ...,Lelam,1997,"KS Chithra, Biju Narayanan",Gireesh Puthenchery,Ouseppachan
1282,1283,Kunkumamo II ...,Lelam,1997,"KS Chithra, P Unnikrishnan",Gireesh Puthenchery,Ouseppachan
1283,1284,Nee Kaanumo ...,Irattakkuttikalude Achan,1997,KS Chithra,Kaithapram,Johnson
1284,1285,Kannanennu Peru ...,Irattakkuttikalude Achan,1997,KS Chithra,Kaithapram,Johnson
1285,1286,Ithalazhakil malar ...,Innalekalillaathe,1997,"KS Chithra, Biju Narayanan",Kaithapram,Rex Isaacs
1286,1287,Aapaada Madhuramee ...,Innalekalillaathe,1997,"KS Chithra, Ramesh Murali",Kaithapram,Rex Isaacs
1287,1288,Kanakaabhilaashangal ...,Innalekalillaathe,1997,KS Chithra,Kaithapram,Rex Isaacs
1288,1289,Unarunaroo Janmasayoojyame ...,Innalekalillaathe,1997,KS Chithra,Kaithapram,Rex Isaacs
1289,1290,Kaathirippoo ...,Krishnagudiyil Oru Pranayakaalathu,1997,"KJ Yesudas, KS Chithra",Gireesh Puthenchery,Vidyasagar
1290,1291,Pinneyum Pinneyum (Bit) ...,Krishnagudiyil Oru Pranayakaalathu,1997,"KJ Yesudas, KS Chithra",Gireesh Puthenchery,Vidyasagar
1291,1292,Pinneyum Pinneyum (F) ...,Krishnagudiyil Oru Pranayakaalathu,1997,KS Chithra,Gireesh Puthenchery,Vidyasagar
1292,1293,Kunkumam charthumee ...,Poothumpiyum Poovalanmaarum,1997,"KS Chithra, MG Sreekumar",Gireesh Puthenchery,Rajamani
1293,1294,Vara chandralekhayalle ...,Kilukil Pamparam,1997,KS Chithra,Gireesh Puthenchery,SP Venkitesh
1294,1295,Murahara Murali Govinda ...,Kilukil Pamparam,1997,KS Chithra,Gireesh Puthenchery,SP Venkitesh
1295,1296,Thrilokam Thilangum ...,My Dear Kuttichaathan (Part 2),1997,KS Chithra,Bichu Thirumala,Ilayaraja
1296,1297,Vennilaa ...,Mangalyappallakku,1997,KS Chithra,Gireesh Puthenchery,Balabhaskar
1297,1298,Priya Tharake ...,Mangalyappallakku,1997,KS Chithra,Gireesh Puthenchery,Balabhaskar
1298,1299,Saayaahna Meghathin [F] ...,Bhaaratheeyam,1997,KS Chithra,Gireesh Puthenchery,Berny Ignatius
1299,1300,Ponkinaavalle ...,Kalyaanakkacheri,1997,"KS Chithra, P Jayachandran",Gireesh Puthenchery,SP Venkitesh
1300,1301,Mindaappenninte Karalile ...,Kottappurathe Koottukudumbam,1997,KS Chithra,Kaithapram,Kaithapram
1301,1302,Kaakkathampuraatti ...,Kottappurathe Koottukudumbam,1997,KS Chithra,Kaithapram,Kaithapram
1302,1303,Kadalariyilla ...,Kannur,1997,KS Chithra,Kaithapram,Raveendran
1303,1304,Kadalariyilla ...,Kannur,1997,"KJ Yesudas, KS Chithra",Kaithapram,Raveendran
1304,1305,Veettumaavin ...,Kannur,1997,KS Chithra,Kaithapram,Raveendran
