,no,song,movie,year,singers,lyricist,composer
1769,1770,Raaravenu ...,Mister Butler,2000,"KS Chithra, Kalyani Menon",Gireesh Puthenchery,Vidyasagar
1770,1771,Virahini raadhe ...,Mister Butler,2000,"KJ Yesudas, KS Chithra",Gireesh Puthenchery,Vidyasagar
1771,1772,Kunuku Penmaniye ...,Mister Butler,2000,"KS Chithra, MG Sreekumar, Innocent",Gireesh Puthenchery,Vidyasagar
1772,1773,Nizhalaadum Deepame [F] ...,Mister Butler,2000,KS Chithra,Gireesh Puthenchery,Vidyasagar
1773,1774,Sooryanaay Thazhuki [F] ...,Sathyam Sivam Sundaram,2000,KS Chithra,Kaithapram,Vidyasagar
1774,1775,Mayilppeelikoottil (F) ...,Puraskaaram,2000,KS Chithra,Appan Thachethu,Rajamani
1775,1776,Mayilaadumkunnu [D] ...,Nisheedhini,2000,"KJ Yesudas, KS Chithra",S Ramesan Nair,Bharadhwaj
1776,1777,Etho Snehalaalanam ...,Nisheedhini,2000,"KS Chithra, G Venugopal",S Ramesan Nair,Bharadhwaj
1777,1778,Kaliveena Maaril Cherkum ...,Kolothu Naattile Kochu Visheshangal,2000,KS Chithra,S Ramesan Nair,D Sivaprasad
1778,1779,Saarade ...,Kolothu Naattile Kochu Visheshangal,2000,KS Chithra,Dr Sudhakar Elixir,D Sivaprasad
1779,1780,Kanna Kannilunni ...,Andolanam,2001,KS Chithra,Yusufali Kecheri,Natesh Shankar
1780,1781,Poonthen Nermozhi (F) ...,Nagaravadhu,2001,KS Chithra,Prabha Varma,M Jayachandran
1781,1782,Thai Piranthaal [F] ...,Nagaravadhu,2001,KS Chithra,Prabha Varma,M Jayachandran
1782,1783,Aakaashadeepangal ...,Raavanaprabhu,2001,KS Chithra,Gireesh Puthenchery,Suresh Peters
1783,1784,Ariyaathe Ariyaathe ...,Raavanaprabhu,2001,"KS Chithra, P Jayachandran",Gireesh Puthenchery,Suresh Peters
1784,1785,Ariyaathe Ariyaathe ...,Raavanaprabhu,2001,KS Chithra,Gireesh Puthenchery,Suresh Peters
1785,1786,Kanimalaraay ...,Mazhameghapraavukal,2001,KS Chithra,Gireesh Puthenchery,Palakkadu KL Sreeram
1786,1787,Maamava Jagadeeswara ...,Mazhameghapraavukal,2001,KS Chithra,,Palakkadu KL Sreeram
1787,1788,Kanimalaraay [D] ...,Mazhameghapraavukal,2001,"KS Chithra, Palakkadu KL Sreeram",Gireesh Puthenchery,Palakkadu KL Sreeram
1788,1789,Theerangal thedunnu ...,Bhadra,2001,KS Chithra,S Ramesan Nair,Shakeer Jackson
1789,1790,Yamuna hridayam ...,Nalacharitham Naalam Divasam,2001,KS Chithra,Yusufali Kecheri,Mohan Sithara
1790,1791,Kilimozhiye ...,Nalacharitham Naalam Divasam,2001,"KS Chithra, R Ilango",Yusufali Kecheri,Mohan Sithara
1791,1792,Njanoru Daaham (F) ...,Nalacharitham Naalam Divasam,2001,KS Chithra,Yusufali Kecheri,Mohan Sithara
1792,1793,Shalabham Vazhimaarumaa ...,Achaneyaanenikkishtam,2001,"KS Chithra, MG Sreekumar",S Ramesan Nair,MG Radhakrishnan
1793,1794,Chanchala druthapada ...,Ishtam,2001,KS Chithra,Kaithapram,Mohan Sithara
1794,1795,Kaanumpol [D] ...,Ishtam,2001,"KJ Yesudas, KS Chithra",Sachithanandan Puzhankara,Mohan Sithara
1795,1796,Kilippenne Nilaavin (D) ...,Dosth,2001,"KJ Yesudas, KS Chithra",S Ramesan Nair,Vidyasagar
1796,1797,Chelulla ...,Karumaadikkuttan,2001,KS Chithra,Yusufali Kecheri,Mohan Sithara
1797,1798,Yaahi radhe ...,Karumaadikkuttan,2001,KS Chithra,Yusufali Kecheri,Mohan Sithara
1798,1799,Kannezhuthi Pottuthottu [F] ...,Karumaadikkuttan,2001,KS Chithra,Yusufali Kecheri,Mohan Sithara
1799,1800,Chelulla Vallathil ...,Karumaadikkuttan,2001,"KS Chithra, P Jayachandran",Yusufali Kecheri,Mohan Sithara
1800,1801,Oh Anupama Nee ...,Aayilyam Naalil,2001,KS Chithra,Kaithapram,Raveendran
1801,1802,He Vasudhe ...,Aayilyam Naalil,2001,KS Chithra,Poovachal Khader,Raveendran
1802,1803,Angu Vadakku ...,Aayilyam Naalil,2001,KS Chithra,Poovachal Khader,Raveendran
1803,1804,Thaamarappoove thankanilaave ...,Naaraanathu Thamburaan,2001,KS Chithra,S Ramesan Nair,M Jayachandran
1804,1805,Aayiram Pakshikal Paadi ...,Naaraanathu Thamburaan,2001,"KS Chithra, Chorus",S Ramesan Nair,M Jayachandran
1805,1806,Kannaane ...,Kabani,2001,KS Chithra,Mullanezhi,Vidyadharan Master
1806,1807,Ponnushassennum Neeraaduvan Varumee ...,Meghamalhaar,2001,"KS Chithra, P Jayachandran",ONV Kurup,Ramesh Narayan
1807,1808,Oru Narupushpamaay (F) ...,Meghamalhaar,2001,KS Chithra,ONV Kurup,Ramesh Narayan
1808,1809,Changampuzha ...,Meghasandesham,2001,"KJ Yesudas, KS Chithra",S Ramesan Nair,MG Radhakrishnan
1809,1810,Mazhanilaavinte ...,Meghasandesham,2001,KS Chithra,S Ramesan Nair,MG Radhakrishnan
1810,1811,Muthani Munthiri Vallikal (D) ...,Unnathangalil,2001,"KJ Yesudas, KS Chithra",Gireesh Puthenchery,Mohan Sithara
