,no,song,movie,year,singers,lyricist,composer
773,774,Manassilore ...,Randum Randum Anchu,1985,"P Jayachandran, Chorus",Poovachal Khader,Shankar Ganesh
774,775,Thumbikko ...,Randum Randum Anchu,1985,"P Jayachandran, Vani Jairam",Poovachal Khader,Shankar Ganesh
775,776,Pennundo ponnaliya ...,Moonnu Maasangalku Munpu,1986,"P Jayachandran, Unni Menon",Poovachal Khader,Shyam
776,777,Madanante kottaaram ...,Surabheeyaamangal,1986,"P Jayachandran, Chorus",Pappanamkodu Lakshmanan,Kannur Rajan
777,778,Karalinteyullil ...,Bhaarya Oru Manthri,1986,"P Jayachandran, Chorus",Bichu Thirumala,Kannur Rajan
778,779,Naadangalaay Nee Varoo ...,Ninnishtam Ennishtam,1986,"KS Chithra, P Jayachandran",Mankombu Gopalakrishnan,Kannur Rajan
779,780,Thumpappoo kaattil ...,Ninnishtam Ennishtam,1986,"KS Chithra, P Jayachandran",Mankombu Gopalakrishnan,Kannur Rajan
780,781,Aathmaavin sangeetham nee ...,Kshamichu Ennoru Vaakku,1986,P Jayachandran,Poovachal Khader,Shyam
781,782,Hridayam oru vallaki ...,Padayani,1986,"KJ Yesudas, P Jayachandran",Poovachal Khader,AT Ummer
782,783,Aazhiyum thirayum ...,Sree Narayanaguru,1986,"P Jayachandran, Chorus",Sreenarayana Guru,G Devarajan
783,784,Shivasankara ...,Sree Narayanaguru,1986,"P Jayachandran, Chorus",Sreenarayana Guru,G Devarajan
784,785,Unnipirannu ...,Sree Narayanaguru,1986,"P Jayachandran, P Madhuri",Kollam Jaffer,G Devarajan
785,786,Shaarike Ennomalppainkilee ...,Pappan Priyappetta Pappan,1986,P Jayachandran,Sathyan Anthikkad,Alleppey Ranganath
786,787,Allithaamara ...,Pappan Priyappetta Pappan,1986,P Jayachandran,RK Damodaran,Alleppey Ranganath
787,788,Enne tharam thaazhthuvan ...,Shobhraj,1986,P Jayachandran,Cheramangalam,L Vaidyanathan
788,789,Kevala Marthya ...,Nakhakshathangal,1986,P Jayachandran,ONV Kurup,Bombay Ravi
789,790,Vreelaa Bharithayaay ...,Nakhakshathangal,1986,P Jayachandran,ONV Kurup,Bombay Ravi
790,791,Neermani ...,Manasiloru Manimuthu,1986,"KS Chithra, P Jayachandran",K Jayakumar,Shyam
791,792,Arutharuthente Mangalyasoothram ...,Manasiloru Manimuthu,1986,"KS Chithra, P Jayachandran, Ambili",K Jayakumar,Shyam
792,793,Enikku Venda Enikku Venda ...,Kochuthemmaadi,1986,P Jayachandran,P Bhaskaran,G Devarajan
793,794,Pookkale Varnna Varnna ...,Ariyaatha Bandham,1986,"KS Chithra, P Jayachandran",Poovachal Khader,MS Viswanathan
794,795,Sarasam Thirunadanamezhum ...,Ariyaatha Bandham,1986,P Jayachandran,Poovachal Khader,MS Viswanathan
795,796,Pathaaka Thrippathaaka ...,Ariyaatha Bandham,1986,P Jayachandran,Bharathiyar,MS Viswanathan
796,797,Thaathintha they ...,Abhayam Thedi,1986,P Jayachandran,S Ramesan Nair,Shyam
797,798,Dhanumaasakkulirala ...,Mazha Peyyunnu Maddalam Kottunnu,1986,"KS Chithra, P Jayachandran, Chorus",Panthalam Sudhakaran,KJ Joy
798,799,Swarnamedukalil ...,Shyama,1986,P Jayachandran,Poovachal Khader,Raghu Kumar
799,800,Ekaanthamaam ...,Shyama,1986,P Jayachandran,Shibu Chakravarthy,Raghu Kumar
800,801,Mullappookondu ...,Oraayiram Ormakal,1986,P Jayachandran,Vellanad Narayanan,Raveendran
801,802,Vannaatte ...,Prathikalethedi,1986,"P Jayachandran, Lathika",Mankombu Gopalakrishnan,Mahendran
802,803,Bhoomi Poo choodum ...,Bhaaryamaarkku Maathram,1986,"P Jayachandran, Vani Jairam",Mankombu Gopalakrishnan,Shankar Ganesh
803,804,Dhanana Dheem ...,Bhaaryamaarkku Maathram,1986,P Jayachandran,Mankombu Gopalakrishnan,Shankar Ganesh
804,805,Kaanthaari Mulakarachu ...,Dheeran,1987,P Jayachandran,Poovachal Khader,AT Ummer
805,806,Onnaanaam Kunninmel ...,Chanthayil Choodi Vilkkunna Pennu,1987,"P Jayachandran, Kalyani Menon",Prakash Menon,Vidyadharan Master
806,807,Swapnangal Seemantha ...,Vaiki Odunna Vandi,1987,"P Jayachandran, Chorus, Shailaja",Ezhacheri Ramachandran,Raveendran
807,808,Madhumaasam Manninte ...,Athinumappuram,1987,"KS Chithra, P Jayachandran",Poovachal Khader,Johnson
808,809,Jaalakangal Moodi ...,Sreedharante Onnaam Thirumurivu,1987,"P Jayachandran, CO Anto",Bichu Thirumala,Shyam
809,810,Poovamban Paadi ...,Kayyethum Doorathu (Adhyaayam),1987,"S Janaki, P Jayachandran",Kavalam Narayana Panicker,MS Viswanathan
810,811,Sopaana Nadayile ...,Kayyethum Doorathu (Adhyaayam),1987,"P Jayachandran, B Vasantha",Kavalam Narayana Panicker,MS Viswanathan
811,812,Swaram Manassile Swaram ...,Ithente Neethi,1987,"P Jayachandran, Lathika",Poovachal Khader,Johnson
812,813,Padachavane ...,Kaalam Maari Kadha Maari,1987,P Jayachandran,P Bhaskaran,AT Ummer
813,814,Kalyaana Rathriyil ...,Kaalam Maari Kadha Maari,1987,"KS Chithra, P Jayachandran",P Bhaskaran,AT Ummer
814,815,Kunjaadin Veshathil ...,Oru Sindoorapottinte Ormaykku,1987,"P Jayachandran, Chorus",Poovachal Khader,Shyam
815,816,Sarasa Sringaarame ...,Ithrayum Kaalam,1987,"P Jayachandran, Unni Menon, Jolly Abraham, Lathika",Yusufali Kecheri,Shyam
816,817,Karimannoororu Bhoothathaanude ...,Vazhiyorakkaazhchakal,1987,P Jayachandran,Shibu Chakravarthy,SP Venkitesh
817,818,Onanaalil ...,Vazhiyorakkaazhchakal,1987,"KS Chithra, P Jayachandran",Shibu Chakravarthy,SP Venkitesh
818,819,Ding Dong (Puthan Thalamura) ...,Ellaavarkkum Nanmakal (Puthan Thalamura),1987,"P Jayachandran, Chorus, Thoppil Anto",Mankombu Gopalakrishnan,AT Ummer
819,820,Vidarum Thaarathin ...,Swaralayam,1987,P Jayachandran,Poovachal Khader,KV Mahadevan
820,821,Pookkalum Thedi Pokum ...,Swaralayam,1987,"KS Chithra, P Jayachandran",Poovachal Khader,KV Mahadevan
821,822,Aadibhikshuvinodu Enthu ...,Swaralayam,1987,P Jayachandran,Poovachal Khader,KV Mahadevan
822,823,Vidhaatha Chethassin ...,Swaralayam,1987,P Jayachandran,Poovachal Khader,KV Mahadevan
823,824,Paattonnu Paadidunnu Njan ...,Swaralayam,1987,"KS Chithra, P Jayachandran",Poovachal Khader,KV Mahadevan
824,825,Ee Kaattil Ee Mannil ...,Swaralayam,1987,P Jayachandran,Poovachal Khader,KV Mahadevan
825,826,Innalle Punchavayal ...,Sangham,1988,"P Jayachandran, Chorus",Shibu Chakravarthy,Shyam
826,827,Daivathin srishtiyil ...,Aadyapaapam,1988,P Jayachandran,Devadas,Jerry Amaldev
827,828,Kannadachaalum [M] ...,Kanakaambarangal,1988,P Jayachandran,P Bhaskaran,K Raghavan
828,829,Threthaayugam ...,Kanakaambarangal,1988,P Jayachandran,P Bhaskaran,K Raghavan
829,830,Thaaraka Deepaankurangalkkidayil ...,Vida Parayaan Maathram,1988,P Jayachandran,Poovachal Khader,MK Arjunan
830,831,Vida Parayaan Maathram ...,Vida Parayaan Maathram,1988,P Jayachandran,Poovachal Khader,MK Arjunan
831,832,Manithooval Chirakulla ...,Simon Peter Ninakkuvendi,1988,P Jayachandran,Bichu Thirumala,AT Ummer
832,833,Soundarya Saaramo Nee ...,Onnum Onnum Pathinonnu,1988,"P Jayachandran, Lathika",Devadas,Raveendran
833,834,Azhakin Narukiraname ...,Puthiya Niyamam Puthiya Kodathi,1988,"P Jayachandran, Vani Jairam",Mankombu Gopalakrishnan,Hamsalekha
834,835,Mizhiyithalil ...,Puthiya Niyamam Puthiya Kodathi,1988,"P Jayachandran, Vani Jairam",Mankombu Gopalakrishnan,Hamsalekha
835,836,Thanthanana ...,Sangeetha Sangamam,1988,P Jayachandran,Mankombu Gopalakrishnan,KV Mahadevan
836,837,Shaalayil Mrigashaalayil ...,Mrigashaalayil,1988,P Jayachandran,Poovachal Khader,Rajan Nagendra
837,838,Jeeppinmel ...,Mrigashaalayil,1988,P Jayachandran,Poovachal Khader,Rajan Nagendra
838,839,Pularkaala Sandhya Etho ...,Evidence (Puthumazhatthullikal),1988,P Jayachandran,Mankombu Gopalakrishnan,OP Nayyar
839,840,Ilam Thennalin Thalirthottilaatti ...,Evidence (Puthumazhatthullikal),1988,P Jayachandran,Mankombu Gopalakrishnan,OP Nayyar
840,841,Thulaavarshame ...,Evidence (Puthumazhatthullikal),1988,P Jayachandran,Mankombu Gopalakrishnan,OP Nayyar
841,842,Kaivanna Thankamalle ...,Siddhaartha,1998,P Jayachandran,Kaithapram,Vidyasagar
842,843,Poyvaroo ...,Season,1989,"P Jayachandran, P Padmarajan",Sreekumaran Thampi,Ilayaraja
843,844,Maarivillin poo virinja ...,Jeevitham Oru Raagam,1989,P Jayachandran,Poovachal Khader,Rajamani
844,845,Kanyaakumaarike ...,Kodungalloor Bhagavathi,1989,P Jayachandran,"Ashokapuram Narayanan, Bhadran Kedamangalam, C Subramaniam",A Narayanan
845,846,Janmangal Ente Kanmunnil ...,Lal Americayil,1989,P Jayachandran,Poovachal Khader,Johnson
846,847,Vinnin ...,Lal Americayil,1989,"P Jayachandran, Lathika",Poovachal Khader,Johnson
847,848,Janmangal Ente Kanmunnil [D] ...,Lal Americayil,1989,"P Jayachandran, Vani Jairam",Poovachal Khader,Johnson
848,849,Rathibhaavam ...,Rathibhaavam,1989,"P Jayachandran, Renuka Girijan",P Bhaskaran,Jerry Amaldev
849,850,Maanathu ...,Rathibhaavam,1989,"P Jayachandran, Renuka Girijan",P Bhaskaran,Jerry Amaldev
850,851,Madhuvidhu ...,Prabhaatham Chuvanna Theruvil,1989,P Jayachandran,Poovachal Khader,AT Ummer
851,852,Yaamangal thorum ...,Krooran,1989,"P Jayachandran, Ambili, Chorus",Bharanikkavu Sivakumar,Rathnasoori
852,853,Om Ithye [Ethathalambanam] (Slokam) ...,Adharvam,1989,"P Jayachandran, Ilayaraja",,Ilayaraja
853,854,Etho Manohariyaam ...,Kalpana House,1989,"P Jayachandran, Sujatha Mohan",Poovachal Khader,Anu Malik
854,855,Etho Naadasangamam ...,Mizhiyorangalil,1989,P Jayachandran,Puthiyankam Murali,Gangai Amaran
855,856,Pedamaan Kannee ...,Kuruppinte Kanakkupusthakam,1990,P Jayachandran,S Ramesan Nair,Balachandra Menon
856,857,Edan Thaazhvarayil ...,Kuruppinte Kanakkupusthakam,1990,"KS Chithra, P Jayachandran, Chorus",S Ramesan Nair,Balachandra Menon
857,858,Auto auto ...,Aye Auto,1990,"MG Sreekumar, P Jayachandran",Bichu Thirumala,Raveendran
858,859,Chalanam jwalanam ...,Iyer The Great,1990,"S Janaki, P Jayachandran",Poovachal Khader,MS Viswanathan
859,860,Etho kaikal maaykkunnu ...,Raajavaazhcha,1990,P Jayachandran,Poovachal Khader,Johnson
860,861,Theyyaaram theyyaaram ...,Apsarassu,1990,"P Susheela, P Jayachandran",Bharanikkavu Sivakumar,SP Venkitesh
861,862,Akale aayiram ...,Urvasi,1990,P Jayachandran,Bichu Thirumala,Jerry Amaldev
862,863,Raathrigandhi nananju ...,Urvasi,1990,"KS Chithra, P Jayachandran",Bichu Thirumala,Jerry Amaldev
863,864,Pandorikkal paavamoru ...,Rosa I love you,1990,"P Jayachandran, Sujatha Mohan, Chorus",Sreekumaran Thampi,Jerry Amaldev
864,865,Puthiyoru Pallaviyennullil ...,Beauty Palace,1990,"P Jayachandran, Vani Jairam",Poovachal Khader,MK Arjunan
865,866,Then thulumbum ...,Chuvanna Kannukal,1990,"KS Chithra, P Jayachandran",Poovachal Khader,Jerry Amaldev
866,867,Mulamthumbi ...,Kadathanaadan Ambaadi,1990,"KS Chithra, P Jayachandran",P Bhaskaran,K Raghavan
867,868,Nottam Thiranottam ...,Medakkaattu,1990,P Jayachandran,Kavalam Narayana Panicker,Vidyadharan Master
868,869,Pookkaalam Kalamezhuthaan ...,Smrithikal,1990,P Jayachandran,Kaithapram,Ouseppachan
869,870,Thankathakidurukki ...,Smrithikal,1990,P Jayachandran,Kaithapram,Ouseppachan
870,871,Oru Pidi ...,Viswanadhante Praveshanam,1990,P Jayachandran,TI Viswanath,Ilayaganga
871,872,Anthimeghappurathu ...,Viswanadhante Praveshanam,1990,"KS Chithra, P Jayachandran",TI Viswanath,Ilayaganga
872,873,Ashtapadeepada ...,Kaadambari,1991,P Jayachandran,Poovachal Khader,Manoharan
873,874,Swarloka Naayakan ...,Souhrudam,1991,"KJ Yesudas, P Jayachandran, Chorus, Sindhu Devi",Chunakkara Ramankutty,Shyam
874,875,Ee sangeetham ...,Khandakaavyam,1991,P Jayachandran,Sreekumaran Thampi,Raveendran
875,876,Thenmullukal ...,Khandakaavyam,1991,P Jayachandran,Sreekumaran Thampi,Raveendran
876,877,Karthaavuyarthezhunnetta ...,Apaaratha,1992,P Jayachandran,Sreekumaran Thampi,Ilayaraja
877,878,Punarapi Jananam ...,Raajashilpi,1992,P Jayachandran,ONV Kurup,Raveendran
878,879,Sangeetha Sundara Raavil ...,Onnu chirikkaan ellaam marakkaan,1992,P Jayachandran,Bharanikkavu Sivakumar,Guna Singh
879,880,Karayum Thirayum (Bit) ...,Gazal,1993,"KS Chithra, P Jayachandran",Yusufali Kecheri,Bombay Ravi
880,881,Geethopadesham ...,Ottayadippaathakal,1993,P Jayachandran,Traditional,Mohan Sithara
881,882,Chaaraayam chaaraayam ...,Theeram Thedunna Thirakal,1993,"P Jayachandran, Biju Narayanan, Manoj Mannam",Perumpuzha Gopalakrishnan,G Devarajan
882,883,Aararivum ...,CID Unnikrishnan B.A. B.Ed,1994,"KJ Yesudas, P Jayachandran, Krishnachandran",Bichu Thirumala,Johnson
883,884,Aavanippoovin ...,CID Unnikrishnan B.A. B.Ed,1994,"KS Chithra, P Jayachandran",IS Kundoor,Johnson
884,885,Pennarasu ...,Pidakkozhi Koovunna Noottaandu,1994,P Jayachandran,Kavalam Narayana Panicker,SP Venkitesh
885,886,Thaaram Thookum ...,Santhaanagopaalam,1994,"P Jayachandran, Sujatha Mohan, Chorus",V Madhusoodanan Nair,Johnson
886,887,Ponnukku Poomanassu ...,Kambolam,1994,"KS Chithra, P Jayachandran",Bichu Thirumala,SP Venkitesh
887,888,Paal Nilaavin ...,Vaardhakyapuraanam,1994,"KS Chithra, P Jayachandran",S Ramesan Nair,Kannur Rajan
888,889,Veenapaadumeenamaayi [Bit] ...,Vaardhakyapuraanam,1994,"KJ Yesudas, KS Chithra, P Jayachandran",IS Kundoor,Kannur Rajan
889,890,Vaarilam [M] ...,Paalayam,1994,P Jayachandran,Panthalam Sudhakaran,Shyam
890,891,Aksharamoru ...,Gothram,1994,P Jayachandran,ONV Kurup,G Devarajan
891,892,Kathiron Kanivaykkum ...,Gothram,1994,"P Jayachandran, Chorus, Panthalam Balan",ONV Kurup,G Devarajan
892,893,Poovaninja ...,Geetham Sangeetham (Ananthapuri),1994,"P Jayachandran, Ambili, Raveendran, Chorus",Kaithapram,Raveendran
893,894,Kanneerkkumbilil ...,Sargavasantham,1995,P Jayachandran,Kaithapram,Ouseppachan
894,895,Kaali Om Kaali ...,Agrajan,1995,"P Jayachandran, P Madhuri, CO Anto",,G Devarajan
895,896,Mettukkaarathi Penne ...,Radholsavam,1995,"MG Sreekumar, P Jayachandran",Gireesh Puthenchery,Berny Ignatius
896,897,Kombukuzhal ...,Praayikkara Paappaan,1995,"MG Sreekumar, P Jayachandran",Bichu Thirumala,SP Venkitesh
897,898,Ee raajaveedhiyil ...,Karma,1995,"P Jayachandran, Biju Narayanan, Chorus, Sindhu Devi",S Ramesan Nair,SP Venkitesh
898,899,Chakkaramuthe ...,Aadyathe Kanmani,1995,"P Jayachandran, Biju Narayanan",S Ramesan Nair,SP Venkitesh
899,900,Kalabhamchaarthiya ...,Pai Brothers,1995,"KS Chithra, P Jayachandran",ONV Kurup,Dev Krishna
900,901,Peelithirumudiyunde [Muthumani thenil] ...,Achan Kompathu Amma Varampathu,1995,"KS Chithra, P Jayachandran, Vani Jairam, G Venugopal, Sindhu Devi",Gireesh Puthenchery,SP Venkitesh
901,902,Vellaaram Kilikal ...,Mangalyasoothram,1995,"P Jayachandran, Sujatha Mohan",Gireesh Puthenchery,Berny Ignatius
902,903,Andhatha Moodiya ...,Keerthanam,1995,"P Jayachandran, Chorus",Kaithapram,SP Venkitesh
903,904,Pulari pookkalal ...,Aniyan Baava Chettan Baava,1995,"KS Chithra, P Jayachandran",IS Kundoor,SP Venkitesh
904,905,Anthimaanam ...,Vridhanmaare Sookshikkuka,1995,"MG Sreekumar, P Jayachandran",Gireesh Puthenchery,Berny Ignatius
905,906,Thinkalppoovin ...,Pushpamangala,1995,"KS Chithra, P Jayachandran",Poovachal Khader,Manoharan
906,907,Shishirakaala Meghamidhuna ...,Devaraagam,1996,"KS Chithra, P Jayachandran",MD Rajendran,MM Keeravani
907,908,Karivari Vandukal ...,Devaraagam,1996,P Jayachandran,MD Rajendran,MM Keeravani
908,909,Mizhikalilazhakin ...,Aakaashathekkoru Kilivaathil,1996,P Jayachandran,Gireesh Puthenchery,Ouseppachan
909,910,Aashrayamekaname ...,Hitlist,1996,P Jayachandran,MR Jose,Jerry Amaldev
910,911,Kalahamsam Neenthum ...,Swapnalokathe Baalabhaaskaran,1996,"P Jayachandran, Arundhathi",IS Kundoor,SP Venkitesh
911,912,Ponnaambale ...,Aramanaveedum Anjoorekkarum,1996,"KS Chithra, P Jayachandran",Gireesh Puthenchery,"BA Chidambaranath, Rajamani"
912,913,Deepaankuram ...,Kaliveedu,1996,"KS Chithra, P Jayachandran",Kaithapram,Mohan Sithara
913,914,Vida Parayukayaanen Janmam ...,Kunkumacheppu,1996,P Jayachandran,Kaithapram,SP Venkitesh
914,915,Kinkinippookal ...,Sangamasandhya,1996,P Jayachandran,Poovachal Khader,Chandrabose
915,916,Rajathi ...,Sangamasandhya,1996,"S Janaki, P Jayachandran, Chorus",Poovachal Khader,Chandrabose
916,917,Maaya Theerame ...,Killikkurishiyile Kudumbamela,1997,P Jayachandran,Kaithapram,Johnson
917,918,Ponkinaavalle ...,Kalyaanakkacheri,1997,"KS Chithra, P Jayachandran",Gireesh Puthenchery,SP Venkitesh
918,919,Manjolum Raathri ...,Oru Yaathraamozhi,1997,P Jayachandran,Gireesh Puthenchery,Ilayaraja
919,920,Sringaara Yamunaa Pulinam ...,Alakananda,1997,P Jayachandran,Vayalar Sarathchandra Varma,Parappa Unnikrishnan
920,921,Nilayude ...,Alakananda,1997,P Jayachandran,PK Gopi,NP Prabhakaran
921,922,Kalakalam Paadum Kili ...,Oru Panchathanthram Kadha,1997,P Jayachandran,Gireesh Puthenchery,Rajamani
922,923,Kallu Kudikkaan Moham ...,Oru Panchathanthram Kadha,1997,P Jayachandran,Gireesh Puthenchery,Rajamani
923,924,Manchaadi ...,Raarichante Raajayogam,1997,"KJ Yesudas, P Jayachandran, Sindhu Devi, Swarnalatha",Chittoor Gopi,Kozhikode Yesudas
924,925,Anandhamee ...,Over To Delhi,1997,P Jayachandran,MD Rajendran,MD Rajendran
925,926,Puzha polum ...,Oru Janmam Koodi,1997,"P Jayachandran, Sindhu Devi",Chittoor Gopi,Nisari Ummer
926,927,Velicham Vilakkine ...,Amma Ammaayiyamma,1998,P Jayachandran,MD Rajendran,MS Viswanathan
927,928,Kaadinezhazhaku ...,Aaraam Jaalakam,2001,P Jayachandran,Kaithapram,Kaithapram
928,929,Kanneer Poovum ...,Neelaanjanam,1998,P Jayachandran,MD Rajendran,MD Rajendran
929,930,Vakkukal Vende ...,Veendum Chila Veettukaaryangal,1999,P Jayachandran,Kaithapram,Johnson
930,931,Kannetha Mala Maamala Mele ...,Veendum Chila Veettukaaryangal,1999,"P Jayachandran, Chorus",Kaithapram,Johnson
931,932,Prayam Nammil ...,Niram,1999,"P Jayachandran, Sujatha Mohan",Bichu Thirumala,Vidyasagar
932,933,Devaraagame ...,Prem Poojaari,1999,"KS Chithra, P Jayachandran",ONV Kurup,Uttam Singh
933,934,Manassin Thalirmarathin ...,Sneha Saamraajyam (Punnaaram Kuyil),1997,"KS Chithra, P Jayachandran",Shibu Chakravarthy,MM Keeravani
934,935,Innale Peytha Mazhathullikal [M] ...,Sneha Saamraajyam (Punnaaram Kuyil),1997,P Jayachandran,Shibu Chakravarthy,MM Keeravani
935,936,Pournamippoothingal ...,Manassil Oru Manjuthulli,2000,P Jayachandran,MD Rajendran,Bombay Ravi
936,937,Maaya Nayanangalil ...,Manassil Oru Manjuthulli,2000,P Jayachandran,MD Rajendran,Bombay Ravi
937,938,Mazha Mazha Mazha ...,Manassil Oru Manjuthulli,2000,P Jayachandran,MD Rajendran,Bombay Ravi
938,939,Aakaashadeepame ...,Joker,2000,P Jayachandran,Yusufali Kecheri,Mohan Sithara
939,940,Pon kasavu ...,Joker,2000,"KS Chithra, P Jayachandran",Yusufali Kecheri,Mohan Sithara
940,941,Oru Panchavarnappainkiliyen ...,Ingane Oru Nilaappakshi,2000,P Jayachandran,Yusufali Kecheri,"Antara Salil Chowdhury, Sanjoy Salil Chowdhury"
941,942,Eden Poove ...,Daivathinte Makan,2000,"KS Chithra, P Jayachandran",S Ramesan Nair,Vidyasagar
942,943,Edan Poove (M) ...,Daivathinte Makan,2000,P Jayachandran,S Ramesan Nair,Vidyasagar
943,944,Poove Poove Paalappoove ...,Devadoothan,2000,"KS Chithra, P Jayachandran",Kaithapram,Vidyasagar
944,945,Kannil Kaashithumba ...,Dreamz,2000,"P Jayachandran, Gayathri Asokan",Gireesh Puthenchery,Vidyasagar
945,946,Aananda Hemantha ...,Swayamvarappanthal,2000,P Jayachandran,ONV Kurup,Johnson
946,947,Smaraami Vaishnavachaarumoorthe ...,Valyettan,2000,P Jayachandran,Gireesh Puthenchery,Mohan Sithara
947,948,Kalagathai Kaaliyamman ...,Indriyam,2000,"KS Chithra, P Jayachandran, Chorus",S Ramesan Nair,Berny Ignatius
948,949,Kalakalam ...,Ival Draupadi,2000,P Jayachandran,Gireesh Puthenchery,Sunil Bhaskar
949,950,Eleppulyante ...,Kannaadikkadavathu,2000,"P Jayachandran, Chorus",Kaithapram,Balabhaskar
950,951,Kaakkappoo kaithappoo ...,Arayannangalude Veedu,2000,"P Jayachandran, Mano",Gireesh Puthenchery,Raveendran
951,952,Vinnil Chirikkunna Velli Nakshathrame [Aashicha] ...,Andolanam,2001,P Jayachandran,Yusufali Kecheri,Natesh Shankar
952,953,Ariyaathe Ariyaathe ...,Raavanaprabhu,2001,"KS Chithra, P Jayachandran",Gireesh Puthenchery,Suresh Peters
953,954,Chelulla Vallathil ...,Karumaadikkuttan,2001,"KS Chithra, P Jayachandran",Yusufali Kecheri,Mohan Sithara
954,955,Karukaruthulloru ...,Kabani,2001,P Jayachandran,Mullanezhi,Vidyadharan Master
955,956,Ponnushassennum Neeraaduvan Varumee ...,Meghamalhaar,2001,"KS Chithra, P Jayachandran",ONV Kurup,Ramesh Narayan
956,957,Neyyaambal ...,Ennum Sambhavaami Yuge Yuge,2001,"P Jayachandran, Sujatha Mohan",Yusufali Kecheri,Gopan
957,958,Marannittumenthino ...,Randaam Bhaavam,2001,"P Jayachandran, Sujatha Mohan",Gireesh Puthenchery,Vidyasagar
958,959,Marannittumenthino ...,Randaam Bhaavam,2001,P Jayachandran,Gireesh Puthenchery,Vidyasagar
959,960,Muttathe Mullathaay[V2] ...,Saiver Thirumeni,2001,"P Jayachandran, Sujatha Mohan",Gireesh Puthenchery,Raveendran
960,961,Aadyathe ...,One Man Show,2001,P Jayachandran,Kaithapram,Suresh Peters
961,962,Yaduvamsha Yaamini [M] ...,Dubai,2001,P Jayachandran,Gireesh Puthenchery,Vidyasagar
962,963,Raagathennale ...,Praja,2001,P Jayachandran,Gireesh Puthenchery,MG Radhakrishnan
963,964,Kalabhakkuriyitta ...,Aakaashathile Paravakal,2001,"MG Sreekumar, P Jayachandran, Anuradha Sriram",S Ramesan Nair,S Balakrishnan
964,965,Neelakkaayalil ninmizhiyinakal ...,Sharjah To Sharjah,2001,P Jayachandran,Gireesh Puthenchery,Mohan Sithara
965,966,Chirakunananjoru ...,Mookkuthi,2001,P Jayachandran,Vellanad Narayanan,Ramesh Narayan
966,967,Onnalla Randalla ...,Swarnna Chirakumaay,2001,P Jayachandran,Gireesh Puthenchery,Ouseppachan
967,968,Oru Vattom ...,House Owner,2001,"P Jayachandran, Sujatha Mohan",Chittoor Gopi,Shakeer Jackson
968,969,Kaarkoonthal Kettazhinju ...,Layam,2001,"P Jayachandran, Visalam Ravi",Puthiyankam Murali,MP Sivam
969,970,Manikkuyile ...,The Gift of God,2001,P Jayachandran,S Ramesan Nair,Berny Ignatius
970,971,Thalivilakkum thamarathenum ...,Raajapattam,2001,P Jayachandran,S Ramesan Nair,Berny Ignatius
971,972,Poopole Poothiripole ...,Njaan Raajaavu,2002,"KS Chithra, P Jayachandran",Chavara KS Pillai,Rajamani
972,973,Paadaan Kothichu ...,Njaan Raajaavu,2002,P Jayachandran,Chavara KS Pillai,Rajamani
973,974,Sapthaswara ...,Ponnu,2001,P Jayachandran,Sidharthan,Subhash
974,975,Makale ...,Vaalkkannaadi,2002,P Jayachandran,S Ramesan Nair,M Jayachandran
975,976,Viral thottal ...,Phantom,2002,"KS Chithra, P Jayachandran",Gireesh Puthenchery,Deva
976,977,Therirangum ...,Mazhathullikkilukkam,2002,P Jayachandran,S Ramesan Nair,Suresh Peters
977,978,Ariyaatha Jeevithayaathra Than ...,Kanalkkireedam,2002,P Jayachandran,S Ramesan Nair,Berny Ignatius
978,979,Ekaakiyaam ...,Ente Hridayathinte Udama,2002,P Jayachandran,ONV Kurup,Raveendran
979,980,Poothumbi ...,Krishnapakshakkilikal,2002,P Jayachandran,Bharanikkavu Sivakumar,Raveendran
980,981,Vattayilappanthalittu ...,Yaathrakkaarude Shradhaykku,2002,"KS Chithra, P Jayachandran",Kaithapram,Johnson
981,982,Onnu Thodanullil ...,Yaathrakkaarude Shradhaykku,2002,P Jayachandran,Kaithapram,Johnson
982,983,Maane Pedamaane ...,Kaattuchembakam,2002,P Jayachandran,Vinayan,Mohan Sithara
983,984,Kilimakale Nee Kando ...,Kaattuchembakam,2002,"P Jayachandran, Sujatha Mohan",Vinayan,Mohan Sithara
984,985,Omane Paadu Nee ...,Snehithan,2002,P Jayachandran,Yusufali Kecheri,Mohan Sithara
985,986,Hey shingari ...,Pakalppooram,2002,"KS Chithra, P Jayachandran",S Ramesan Nair,Raveendran
986,987,Vattalla Vattiyilla ...,Onnaaman,2002,"KS Chithra, P Jayachandran",Gireesh Puthenchery,SP Venkitesh
987,988,Aarum ...,Nandanam,2002,"P Jayachandran, Sujatha Mohan",Gireesh Puthenchery,Raveendran
988,989,Kaviyaanu Njan ...,Grand Mother,2002,"P Jayachandran, Sujatha Mohan","S Ramesan Nair, Chittoor Gopi, MD Rajendran",Xavier Kalabhavan
989,990,Malaraayi ...,Suvarna Mohangal,2002,P Jayachandran,Omanakuttan Neendur,Rinil Jones
990,991,Chendaykkoru kolundeda ...,Manassinakkare,2003,"MG Sreekumar, P Jayachandran",Gireesh Puthenchery,Ilayaraja
991,992,Aareyum Kothippikkum ...,Thillaana Thillaana,2003,P Jayachandran,Gireesh Puthenchery,Thankaraj
992,993,Swayamvara Chandrike ...,Chronic Bachelor,2003,"P Jayachandran, Sujatha Mohan",Kaithapram,Deepak Dev
