,no,song,movie,year,singers,lyricist,composer
243,244,Hemantha Raamacha ...,Ninne Pinne Kandolaam,1975,"S Janaki, P Jayachandran",Poochakkal Shahul Hameed,Sathyam
244,245,Vannaatte Oh My Dear ...,Panchami,1976,P Jayachandran,Yusufali Kecheri,MS Viswanathan
245,246,Panchami Paalaazhi ...,Panchami,1976,P Jayachandran,Yusufali Kecheri,MS Viswanathan
246,247,Penninte ...,Ammini Ammaavan,1976,"KJ Yesudas, P Jayachandran",Mankombu Gopalakrishnan,G Devarajan
247,248,Aadiparaashakthi ...,Chottaanikkara Amma,1976,"P Jayachandran, CO Anto, Mohandas",Bharanikkavu Sivakumar,RK Sekhar
248,249,Aadi Lakshmi ...,Udyaanalakshmi,1976,"P Jayachandran, Chorus",Sreekumaran Thampi,G Devarajan
249,250,Aruvi Paalaruvi ...,Yudhabhoomi,1976,P Jayachandran,Mankombu Gopalakrishnan,RK Sekhar
250,251,Lovelyppenne ...,Yudhabhoomi,1976,"P Jayachandran, KP Brahmanandan",Bharanikkavu Sivakumar,RK Sekhar
251,252,Gangaa pravaahathil ...,Missi,1976,P Jayachandran,Mankombu Gopalakrishnan,G Devarajan
252,253,Anuraagathinanuraagam ...,Agnipushpam,1976,"P Jayachandran, Vani Jairam",ONV Kurup,MK Arjunan
253,254,Chingakkulirkaatte ...,Agnipushpam,1976,"P Jayachandran, Manoharan, Selma George",ONV Kurup,MK Arjunan
254,255,Neelathadaakathile ...,Swimming Pool,1976,"P Jayachandran, Ambili",Vayalar,MK Arjunan
255,256,Kannaalen Nenjathu ...,Swimming Pool,1976,"P Jayachandran, Ambili",P Bhaskaran,MK Arjunan
256,257,Avaloru Premakavitha ...,Sexilla Stundilla,1976,P Jayachandran,Sreekumaran Thampi,V Dakshinamoorthy
257,258,Kaashaaya Kaashellam ...,Madhuram Thirumadhuram,1976,"P Jayachandran, KPAC Lalitha",Dr Balakrishnan,AT Ummer
258,259,Oru Nokku Devi ...,Madhuram Thirumadhuram,1976,P Jayachandran,Dr Balakrishnan,AT Ummer
259,260,Neelakkarimbin ...,Ajayanum Vijayanum,1976,"P Jayachandran, LR Eeswari",Sreekumaran Thampi,MS Viswanathan
260,261,Thenkaashi ...,Ponni,1976,"P Jayachandran, P Leela, P Madhuri, Sreekanth",P Bhaskaran,G Devarajan
261,262,Maattupponkal ...,Ponni,1976,"P Jayachandran, P Leela, P Madhuri, Chorus, Sreekanth",P Bhaskaran,G Devarajan
262,263,Kannuneerinu Taataa ...,Kaamadhenu,1976,"P Jayachandran, Vani Jairam",Yusufali Kecheri,Shankar Ganesh
263,264,Malarvennilaavo ...,Kaamadhenu,1976,"P Jayachandran, Chorus",Yusufali Kecheri,Shankar Ganesh
264,265,Kannuneerin Kadalilekku ...,Muthu,1976,P Jayachandran,KS Namboothiri,Prathap Singh (Pradeep Singh)
265,266,Pazhanimalakkovilile ...,Pick Pocket,1976,"P Jayachandran, Chorus",Pappanamkodu Lakshmanan,MK Arjunan
266,267,Swapnahaaramaninjethum ...,Pick Pocket,1976,"P Jayachandran, Vani Jairam",Pappanamkodu Lakshmanan,MK Arjunan
267,268,Bhoomikku Burmma Vakkum ...,Pick Pocket,1976,"P Jayachandran, Pattom Sadan",Pappanamkodu Lakshmanan,MK Arjunan
268,269,Chundil Virinjathu ...,Paarijaatham,1976,"P Jayachandran, Vani Jairam",Sreekumaran Thampi,MK Arjunan
269,270,Kandaalazhakulla ...,Mallanum Mathevanum,1976,"P Susheela, P Jayachandran",P Bhaskaran,K Raghavan
270,271,Swarangal Nin Priya ...,Kanyaadaanam,1976,P Jayachandran,Sreekumaran Thampi,MK Arjunan
271,272,Maniyadi Engum ...,Ozhukkinethire,1976,P Jayachandran,Sreekumaran Thampi,MK Arjunan
272,273,Oru Premakavithathan ...,Ozhukkinethire,1976,P Jayachandran,Sreekumaran Thampi,MK Arjunan
273,274,Sandhyathan Kavil Thuduthu ...,Rajaankanam,1976,"P Jayachandran, Ambili",Appan Thachethu,MK Arjunan
274,275,Haritha Kaanana ...,Prasaadam,1976,"P Jayachandran, Ambili",P Bhaskaran,V Dakshinamoorthy
275,276,Aareda Valiyavan ...,Neelasaari,1976,P Jayachandran,Cheri Viswanath,V Dakshinamoorthy
276,277,Kaavyabhavana Manjarikal ...,Raathriyile Yaathrakkaar,1976,P Jayachandran,Sreekumaran Thampi,G Devarajan
277,278,Thenmalayude ...,Surveykkallu,1976,"P Jayachandran, P Madhuri",ONV Kurup,G Devarajan
278,279,Nishaasundari Nilkoo ...,Light House,1976,P Jayachandran,Sreekumaran Thampi,MK Arjunan
279,280,Malsarikkaan Aarundu ...,Light House,1976,"P Jayachandran, Ambili, CO Anto",Sreekumaran Thampi,MK Arjunan
280,281,Amme Amme Amme Makkal ...,Njaavalppazhangal,1976,"S Janaki, P Jayachandran",Mullanezhi,Shyam
281,282,Rikshaavaala Oh ...,Chirikkudukka,1976,"P Susheela, P Jayachandran",Yusufali Kecheri,Shankar Ganesh
282,283,Manisan Mannilu ...,Kaayamkulam Kochunniyude Makan,1976,P Jayachandran,Pappanamkodu Lakshmanan,MK Arjunan
283,284,Aaranmula Bhagavaante ...,Mohiniyaattam,1976,P Jayachandran,Sreekumaran Thampi,G Devarajan
284,285,Aattirambile Sundari ...,Appooppan (Charithram Aavarthikkunnilla),1976,"P Jayachandran, LR Anjali",P Bhaskaran,MS Baburaj
285,286,Vairam Pathichoru ...,Chennaaya Valarthiya Kutty,1976,P Jayachandran,Mankombu Gopalakrishnan,MK Arjunan
286,287,Dance Festival ...,Aayiram Janmangal,1976,"P Jayachandran, LR Eeswari",P Bhaskaran,MS Viswanathan
287,288,Vilikkunnu Vilikkunnu ...,Aayiram Janmangal,1976,"P Jayachandran, Shakeela Balakrishnan",P Bhaskaran,MS Viswanathan
288,289,Engupoy Engupoy ...,Pushpasharam,1976,"P Jayachandran, Chorus",Anwar Suber,MS Baburaj
289,290,Indraneelaambaram ...,Paalkkadal,1976,P Jayachandran,Sreekumaran Thampi,AT Ummer
290,291,Aavani Poorna ...,Kuttavum Shikshayum,1976,"S Janaki, P Jayachandran",Mankombu Gopalakrishnan,MS Viswanathan
291,292,Janani Jayikkunnu ...,Amma,1976,"P Jayachandran, Chorus",Sreekumaran Thampi,MK Arjunan
292,293,Nidhiyum Kondunadakkunnu ...,Amma,1976,P Jayachandran,Sreekumaran Thampi,MK Arjunan
293,294,Alathallum ...,Bandhangal Bandhanangal,1976,"P Susheela, P Jayachandran, B Vasantha",Sreekumaran Thampi,RK Sekhar
294,295,Chiriyo Chiri ...,Thirumulkkaazhcha,1976,"S Janaki, P Jayachandran",Sreekumaran Thampi,KV Mahadevan
295,296,Viplava Gaayakare ...,Neethipeedham,1977,P Jayachandran,Bharanikkavu Sivakumar,G Devarajan
296,297,Aaromalunnikku ...,Muttathe Mulla,1977,"P Jayachandran, Ambili, Chorus, Jayashree",Pappanamkodu Lakshmanan,V Dakshinamoorthy
297,298,Akshaya Shakthikale ...,Sakhaakkale Munnottu,1977,"P Jayachandran, Chorus",Mankombu Gopalakrishnan,G Devarajan
298,299,Varnachirakulla ...,Sakhaakkale Munnottu,1977,P Jayachandran,Mankombu Gopalakrishnan,G Devarajan
299,300,Thuruppugulaan Irakkividente ...,Thuruppugulaan,1977,"KJ Yesudas, P Jayachandran",Sreekumaran Thampi,V Dakshinamoorthy
300,301,Kottaaramillaatha ...,Thuruppugulaan,1977,P Jayachandran,Sreekumaran Thampi,V Dakshinamoorthy
301,302,Kasthoorimallika ...,Sathyavaan Saavithri,1977,"P Jayachandran, P Madhuri",Sreekumaran Thampi,G Devarajan
302,303,Sugandhi ...,Karnaparvam,1977,P Jayachandran,Mankombu Gopalakrishnan,G Devarajan
303,304,Swapnathin Lakshadweepile ...,Chakravarthini,1977,P Jayachandran,Vayalar,G Devarajan
304,305,Arayannappidayude ...,Chakravarthini,1977,"P Jayachandran, KP Brahmanandan",Bharanikkavu Sivakumar,G Devarajan
305,306,Allithaamara Mizhiyaale ...,Dweepu,1977,P Jayachandran,Yusufali Kecheri,MS Baburaj
306,307,Manimeghappallakkil ...,Dweepu,1977,P Jayachandran,Yusufali Kecheri,MS Baburaj
307,308,Kalippaattam ...,Aaraadhana,1977,P Jayachandran,Bichu Thirumala,KJ Joy
308,309,Orkkaappurathoru Kalyanam ...,Randu Lokam,1977,"P Jayachandran, Chorus",Yusufali Kecheri,G Devarajan
309,310,Chandrikathalikayile ...,Minimol,1977,"P Jayachandran, Chorus, T Santha",Sreekumaran Thampi,G Devarajan
310,311,Mullappoothailamittu ...,Niraparayum Nilavilakkum,1977,"P Jayachandran, Shakeela Balakrishnan",P Bhaskaran,V Dakshinamoorthy
311,312,Ponnushassin ...,Vishukkani,1977,P Jayachandran,Sreekumaran Thampi,Salil Chowdhury
312,313,Vilaasalolupayaayi ...,Sreemad Bhagavadgeetha,1977,"P Susheela, P Jayachandran",P Bhaskaran,V Dakshinamoorthy
313,314,Oordhwamoolamadhashaakham[Geethopadesam] ...,Sreemad Bhagavadgeetha,1977,P Jayachandran,,V Dakshinamoorthy
314,315,Puthuvarsha Kahalam ...,Akale Aakaasham,1977,"P Jayachandran, P Madhuri",Sreekumaran Thampi,G Devarajan
315,316,Jaagre Jaa (Kalpanayidunnoru) ...,Rathimanmadhan,1977,P Jayachandran,Pappanamkodu Lakshmanan,MS Viswanathan
316,317,Sarppa Santhathimaare ...,Rathimanmadhan,1977,"KJ Yesudas, P Jayachandran",Pappanamkodu Lakshmanan,MS Viswanathan
317,318,Puthunaari Vannallo ...,Sankhupushpam,1977,P Jayachandran,Sreekumaran Thampi,MK Arjunan
318,319,Swapnathil Ninnoral ...,Sankhupushpam,1977,P Jayachandran,Sreedharanunni,MK Arjunan
319,320,Ormayundo ...,Saritha,1977,"P Jayachandran, Mallika Sukumaran",Sathyan Anthikkad,Shyam
320,321,Neelamegha Maalikayil ...,Yatheem,1977,P Jayachandran,P Bhaskaran,MS Baburaj
321,322,Aanandam Brahmaanandam ...,Aanandam Paramaanandam,1977,"P Jayachandran, Pattom Sadan",Sreekumaran Thampi,G Devarajan
322,323,Sahyagiriyude ...,Ashtamangalyam,1977,"P Jayachandran, Vani Jairam",Kanam EJ,MK Arjunan
323,324,Pulari thedi pokum ...,Anjali,1977,"P Jayachandran, Karthikeyan, Sreekanth",Sreekumaran Thampi,G Devarajan
